
---[Section 1] (Source: 501509-1.json) ---
旁白: 第9章「没有黎明的世界」
彩羽: 怎……怎么办啊？\n八千代！
彩羽: 要不要马上赶回去！？\n回梦中的法国。
彩羽: 还是说……
八千代: 冷静一点，彩羽。
八千代: 不，队长，\n让我看看你冷静的一面吧。
彩羽: 啊……对不起……
彩羽: 说的也是，\n我要振作起来才行。
彩羽: 那么……
彩羽: 我们现在\n先想想能做什么吧！
八千代: 看来是冷静下来了啊。
八千代: 现在能做的事吗……
八千代: 既然回到了神滨……
八千代: 就先做一些\n只能在神滨做的事吧。
彩羽: 是啊。
彩羽: 说到现在神滨有，\n而塔鲁特的世界没有的东西……
彩羽: 啊……
彩羽: 那个蜡烛？
八千代: 确实。
八千代: 我们还没好好调查过\n那个到底是什么东西呢。
八千代: 感觉丘卜他们\n是被梦卷进去的。
八千代: 但我们是凭借自己的意志\n进入塔鲁特的梦境的。
八千代: 通过这个蜡烛。
彩羽: 是的。
彩羽: 对了，莉兹好像\n也知道……
彩羽: 这个蜡烛？
彩羽: 诶，蜡烛吗？
彩羽: 那是年代超级久远的古董，\n有红色和蓝色两种。
莉兹·霍克伍德: 这样啊……
莉兹·霍克伍德: 原来你们\n真的来自未来啊。
彩羽: 诶？\n靠这个就能判断吗？
彩羽: 御魂说是从\n古董店里收来的。
彩羽: 是不是和\n塔鲁特他们有关呢？
八千代: 有可能。
八千代: 虽然对不起御魂，\n但是事态紧急。
八千代: 我们进调整屋\n调查看看吧？
彩羽: 好的！
彩羽: 我看看……
彩羽: 啊！
彩羽: 有了，\n这是相同的蜡烛！
八千代: 附近有别的东西吗？
八千代: 可能有御魂从\n同一家古董店进的货。
彩羽: 我找找看！
八千代: 好的。
彩羽: 八千代！
八千代: 怎么了？
彩羽: 这本书……
彩羽: 看上去和蜡烛\n一样旧。
八千代: 好古老的东西啊。
八千代: 像是拉丁语的书。
八千代: …………
八千代: 奇怪……\n太奇怪了。
彩羽: 这到底是什么书呀？
八千代: 看来值得调查一下。
八千代: 希望查字典能看得懂……

---[Section 2] (Source: 501509-2.json) ---
八千代: 唔……受不了了。
彩羽: 八、八千代，\n振作一点！
八千代: 没想到要读\n拉丁语的古书。
八千代: 用脑量是考试时的10倍……
彩羽: 真抱歉，我帮不上忙……
八千代: 不用在意，\n已经有成果了。
彩羽: 你知道这是什么书了吗？
八千代: 是的，\n这个……
八千代: 是黑魔法的魔导书哦！
彩羽: 诶诶！？
八千代: 而且上面写着的魔法是……
八千代: 将人囚禁在“魔女”的结界里……
八千代: 令其陷入永远无法苏醒的噩梦中。
彩羽: 魔女……
彩羽: 是我们知道的\n那种魔女吗？
八千代: 没错，就是那种魔女。
八千代: 写这本书的人\n了解魔女和魔法少女的知识。
八千代: 将利用了魔女诅咒的魔法\n称为黑魔法。
八千代: 所以魔法实际上是有效的。
彩羽: 那个……也就是说……
彩羽: 可鲁波……\n是用这个魔导书里的魔法……
彩羽: 把塔鲁特关在结界里，\n让她一直做噩梦吗？
八千代: 嗯，没错！
八千代: 还有……
八千代: 这上面还提到了\n红色和蓝色的蜡烛。
八千代: 而且蜡烛里，有被施法对象的……
八千代: 也就是塔鲁特的头发！
八千代: 效果和我们想的一样。
八千代: 使用这个蜡烛\n就能进出梦境。
彩羽: 原来这个蜡烛\n这么有来头！？
八千代: 是的。
八千代: 御魂估计是出于巧合，\n在拿到魔导书的同时拿到了它们。
八千代: 但我认为这原本是15世纪时，\n可鲁波自己使用的东西。
彩羽: 诶……
可鲁波: 但是听说在这个世界\n我可以尽情肆虐……
可鲁波: 所以我就答应了！
彩羽: 啊，对了！
彩羽: 可鲁波\n也和我们一样……
彩羽: 是使用了蜡烛\n才进入梦中的！
八千代: 没错。
八千代: 不过可鲁波\n是不受欢迎的客人。
八千代: 所以不能像我们一样\n轻易地接近塔鲁特。
彩羽: 原来是这样啊……
彩羽: 啊，对了！
彩羽: 御魂告诉我们的咒语\n和这件事有关吗？
八千代: 没有任何关联。
八千代: 只要将蜡烛点燃行了，\n好像怎么放都可以。
彩羽: 原来和咒语无关，\n是我们使用的蜡烛不对啊……
彩羽: 不过，这样一来……
彩羽: 大致上就弄明白了呢！
八千代: 这个……\n倒也不是。
八千代: 上面还有更多的情报，\n但是我们都看不懂……
彩羽: 嗯……
彩羽: 啊，但是。
彩羽: 梦中的法国\n可能有人能看懂？
莉兹·霍克伍德: 如果我发生了什么不测，\n需要他人的帮助的话……
莉兹·霍克伍德: 就去一家教会献上祈祷吧……
莉兹·霍克伍德: 那家教会的名字与塔鲁特的妹妹\n“凯瑟琳”有关。
莉兹·霍克伍德: 你们或许\n能够遇到帮助你们的人。
彩羽: 莉兹有说过可能\n有人能帮我们！
八千代: 没错。
