
--- [Section 1] (Source: 310263-1.json) ---
千春的母亲＆静香的母亲: 旅游？
千春: 嗯！
千春: 叫外面的人过来旅游，\n给他们展示村落的亮点！
千春: 赶紧喊人过来吧！
千春的母亲: 你说这样做能帮到村子？
千春: 嗯！
千春: 要是将军在，\n他也肯定会同意的！
静香的母亲: 将军……是在说德川家的？
静香的母亲: 咦？\n德川家现在还有人在吗……
千春的母亲: 时女女士，是这样的……
千春的母亲: 小千有个很爱看的古装剧，\n那个将军就是里面的主人公……
静香的母亲: 古装剧……\n啊，就是电视上演的那个？
静香: 阿姨、母亲大人。
静香: 多亏了小千，\n我们才找到了村落的亮点。
静香: 光凭我和沙绪肯定找不到。
千春: 静香……
沙绪: 是的……
沙绪: 如果这些能帮助村落，那不管是旅游业\n还是别的什么，我们都愿意挑战。
千春: 还有沙绪也……
沙绪: 但是，光靠我们三个人还是很困难……
沙绪: 所以才想借助两位的力量。\n拜托了！
静香: 拜托了，母亲大人！
千春: 妈妈！拜托你了！
千春的母亲: 嗯……
静香的母亲: 广江，\n这不挺好的吗？
静香的母亲: 尝试新鲜事物总是很让人激动，\n我特别喜欢呢。
千春的母亲: 你还挺感情用事的呢……
静香的母亲: 咦？有吗？
千春的母亲: 你们都是认真的吧……\n我明白了。
千春: 妈妈！
千春的母亲: 但总不能突然就开始搞旅游业。
千春: 怎么这样——
千春的母亲: 所以，首先要试一下，\n来看看是否可行。
千春: 试一下？
千春的母亲: 你不是有个姑妈住在城里吗？
千春: 啊，爸爸的那个妹妹！
千春的母亲: 没错。
千春的母亲: 过年的时候她跟我说过，\n她非常向往乡下的生活。
千春的母亲: 只要好好邀请她，说不定她就会\n对这里起了兴趣，过来旅游了。
千春: 这样啊！
静香的母亲: 不愧是广江，\n人脉真广！
千春的母亲: 我只是普通地活在现代社会而已……
千春的母亲: 而且这不仅是小千的……
千春的母亲: 也是静香和沙绪的请求。
沙绪: 阿姨！
千春: 唔？！
千春: （也就是说，凭我一个人\n不能说服妈妈吗？）
千春: ……
千春: （也难怪……）
千春: （那两人更值得信赖，\n也更能帮上村子……）
千春: 哼！
千春: 好！\n我决定了！
千春的母亲: 怎、怎么了？
千春: 我来当姑姑的导游！\n我一定要当！
千春的母亲: 啊？
千春的母亲: 好吧，\n虽然不确定人家愿不愿意过来……
千春: 可以吧？！妈妈！\n一定要让我来！
千春: 整个旅游计划都由我来定！
千春的母亲: 你真的没问题吗？
静香: 啊，我们也会帮忙的！
静香: 对吧，沙绪。
沙绪: 是的。
静香的母亲: 不过，\n一旦要在村落开始新的产业……
静香的母亲: 应该也会有人担心的。
静香的母亲: 这些事就由我事先解释好吧。
千春的母亲: 那就麻烦你了。
千春: 好！\n今天要忙个通宵！
千春的母亲: 就算你忙了个通宵，\n对方也不会明天就到啊。
千春: 唔……

--- [Section 2] (Source: 310263-2.json) ---
千春的姑妈: 小千，谢谢你邀请我过来。
