
--- [Section 1] (Source: 321011-1.json) ---
？？？: 见泷原市……灾厄之日的事件……
圆: 小焰……对不起。\n我要成为魔法少女。
焰: 小圆，为什么……
圆: 我终于明白了，\n自己的愿望是什么。
圆: 所以，我要为此\n赌上这条性命。
焰: 不要啊！
焰: 那，那我……\n是为了什么……
圆: 对不起……\n真的很对不起。
圆: 至今为止，小焰一直一直\n都在保护我，
圆: 希望我好好活下去，\n所以才有了现在的我。
圆: 真的很对不起。
圆: 现在，我终于找到答案了。
圆: 相信我，
圆: 绝对不会\n让小焰至今为止的付出白费的。
焰: 小圆……
丘比: 将无数个世界的命运都捆在一起的你，\n已经成为了因果的特异点，
丘比: 无论你许下多么不切实际的愿望，\n应该也都能实现吧。
圆: 真的吗？
丘比: 说吧，鹿目圆。
丘比: 以灵魂为代价，\n你想要许下什么愿望？
圆: 我……
圆: 想把所有的魔女\n在诞生之前就消灭掉。
圆: 在所有的宇宙中，过去的、未来的\n所有的魔女由我亲手消灭……
丘比: ！？
丘比: 如果……\n真的要实现这个愿望的话，
丘比: 可就不像是干涉时间那么简单了。
丘比: 这等于是对因果法则的违逆！
丘比: 啊！
丘比: 你真的打算\n成为神吗？
圆: 神也好，别的什么也好。
圆: 那些和魔女一路战斗至今的人……
圆: 那些曾经相信过希望的魔法少女，\n我不想让她们哭泣。
圆: 我希望她们\n直到最后一刻都能展露笑颜。
圆: 如果这个规则会妨碍这一点，\n那就由我来破坏它……改变它……
圆: 这就是我的祈祷……\n我的愿望……
圆: 来吧，实现这个愿望吧！\n孵化者！

--- [Section 2] (Source: 321011-2.json) ---
麻美: 鹿目同学
麻美: 你知道那是多么可怕的愿望吗？
圆: 大概吧……
麻美: 未来也好，过去也好，在所有的时间里
麻美: 你都会永远战斗下去的。
麻美: 那样一来，
麻美: 一定会让你无法保持你的个体。
麻美: 那可不是死这么简单的事情，
麻美: 你会作为消灭魔女的概念，
麻美: 被永久地固定在这个宇宙中。
圆: 没事的，我就是这么打算的。
圆: 如果有人对我说，\n抱有希望是错误的，
圆: 无论多少次我都会反驳……\n不是这样的。
圆: 不管到什么时候我都会这么说。
杏子: 那不是挺好的吗？
杏子: 既然你能做到，那就去做做看吧。
杏子: 你不是已经找到战斗的理由了吗？
杏子: 你自己也决定不再逃避了吧？
杏子: 那就没办法啦。
杏子: 接下来就只剩下\n朝着目标一口气冲到底了。
圆: 嗯……\n谢谢你，杏子。
麻美: 那么，\n我得把放在我这的东西还给你了呢。
麻美: 来，给你。
圆: 啊哈哈……
麻美: 你不是要来实现愿望，
麻美: 而是你自己要成为希望……
麻美: 成为我们所有人的希望。
圆: …………
圆: 我不会让你们的祈祷\n以绝望告终！
圆: 你们不会去诅咒任何人\n去暗害任何人\n一切的因果都由我来承受！\n所以拜托了\n直到最后也一定要相信自己！
圆: [textBlack:已经够了……已经可以了哦]
圆: [textBlack:已经不用再怨恨任何人]\n[textBlack:不用再诅咒任何人]
圆: [textBlack:在你变成那个样子之前]\n[textBlack:就让我来接受你吧]

--- [Section 3] (Source: 321011-3.json) ---
焰: …………
焰: ！？
焰: 这里是……
丘比: 基于小圆所带来的新法则，\n宇宙已经被重组了
丘比: 对了，\n你是能穿越时空的魔法使呢
丘比: 那我们就一起见证吧\n见证鹿目圆这一存在的结局……
丘比: 那是在她的祈愿中诞生的灵魂宝石
焰: 怎么会……
丘比: 作为实现那个过于壮大的宏愿的代价\n你知道小圆必须背负的诅咒\n量有多大吗？
丘比: 她实现了等同于\n创造出一个宇宙的希望
丘比: ―丘比―\n这就意味着，同时也会带来\n足以毁灭一个宇宙的绝望
丘比: ―丘比―\n这也是当然的吧
焰: ！？
焰: 唔！
圆: 没事的，\n不要紧的。
圆: 我的愿望是消灭所有的魔女。
圆: 如果真的能实现的话……
圆: ―圆―\n那我也就……
圆: ―圆―\n再没有绝望的必要了！
丘比: 小圆
丘比: 这样一来\n你的人生就没有了起点和终点。
丘比: 你曾在这个世界上活过的证明\n以及相关的记忆，都将无处可寻
丘比: 你将上升到一个更高的领域\n最终作为一个概念存在
丘比: 谁也无法认知到你\n你也无法干涉任何人
丘比: 你已经……不再是这个宇宙的一员了
焰: …………
焰: 这是什么意思……
焰: 你说这就是小圆所希望的结局吗？
焰: 以这种方式结束\n小圆会得到回报吗？
焰: 别开玩笑了！
焰: 这比起死\n还要过分……过分……
圆: ―圆―\n不，不是的哦……小焰
圆: ―圆―\n现在的我\n能看到过去和未来的一切
圆: ―圆―\n无论是过去可能存在过的宇宙
圆: ―圆―\n还是不知何时将会诞生的宇宙\n我都能看见
焰: ―焰―\n小圆……
圆: ―圆―\n所以我全都知道了哦\n在无数的时间中
圆: ―圆―\n小焰一直都在为了我而努力
圆: ―圆―\n哪怕哭泣过无数次\n哪怕遍体鳞伤
圆: ―圆―\n也仍然为了我而战……
圆: ―圆―\n对不起，我一直没能注意到……
圆: ―圆―\n对不起……
圆: ―圆―\n因为我变成了现在的我\n所以才能了解到真正的你
圆: ―圆―\n原来我也有着\n这么重要的朋友啊
圆: ―圆―\n所以我很高兴
焰: ―焰―\n…………
圆: ―圆―\n小焰，谢谢你
圆: ―圆―\n你是我\n最好的朋友呢……
焰: ―焰―\n所以……
焰: ―焰―\n你就打算这样……\n失去归宿
焰: ―焰―\n和你心爱的人天各一方……
焰: ―焰―\n永远孤孤单单一个人\n留在这种地方吗！？
圆: ―圆―\n呵呵……我不是一个人哦
圆: ―圆―\n大家，大家一直\n都和我在一起哦
圆: ―圆―\n从今以后，无论何时何地\n我都会在你们身边
圆: ―圆―\n所以就算看不见，听不到
圆: ―圆―\n我也一直在小焰身边哦
焰: ―焰―\n小圆……这样真的好吗？
焰: ―焰―\n就算我会把你忘掉……
焰: ―焰―\n就算我无法再次感觉到你的存在……
圆: ―圆―\n不，现在放弃还太早了
圆: ―圆―\n小焰你都一路跟到这里来了
圆: ―圆―\n就算回到原来的世界
圆: ―圆―\n说不定，也不会忘记我
圆: ―圆―\n没关系\n一定没关系的
圆: ―圆―\n相信自己吧
焰: ―焰―\n小圆……
圆: ―圆―\n因为魔法少女\n可以实现梦想和希望呀
圆: ―圆―\n哪怕十分渺小\n但真正的奇迹也许还是存在的
圆: ―圆―\n对吧？
焰: ―焰―\n小圆，不要走！
圆: ―圆―\n对不起……\n我必须去迎接大家了
